

1651780377.693852452  Node Startup
1651780378.300997608 INFO /car/mux/ackermann_cmd_mux [/tmp/binarydeb/ros-melodic-nodelet-1.9.16/src/nodelet.cpp:196(loadNodelet)] [topics: /rosout] Loading nodelet /car/mux/ackermann_cmd_mux of type ackermann_cmd_mux/AckermannCmdMuxNodelet to manager nodelet_manager with the following remappings:
1651780378.514072087 INFO /car/mux/ackermann_cmd_mux [/tmp/binarydeb/ros-melodic-roscpp-1.14.12/src/libros/service.cpp:80(service::exists)] [topics: /rosout] waitForService: Service [/car/mux/nodelet_manager/load_nodelet] has not been advertised, waiting...
1651780378.502511462 INFO /car/mux/nodelet_manager [/tmp/binarydeb/ros-melodic-nodelet-1.9.16/src/loader.cpp:233(Loader::Impl::advertiseRosApi)] [topics: /rosout] Initializing nodelet with 4 worker threads.
1651780378.681901670 INFO /car/mux/ackermann_cmd_mux [/tmp/binarydeb/ros-melodic-roscpp-1.14.12/src/libros/service.cpp:123(service::waitForService)] [topics: /rosout] waitForService: Service [/car/mux/nodelet_manager/load_nodelet] is now available.
1651780378.737644326 INFO /car/csi_cam_0 [/home/robot/catkin_ws/src/gscam/src/gscam.cpp:66(GSCam::configure)] [topics: /rosout] Using gstreamer config from env: "nvarguscamerasrc sensor-id=0 ! video/x-raw(memory:NVMM),     width=(int)1280, height=(int)720, format=(string)NV12, framerate=(fraction)30/1 !      nvvidconv flip-method=2 ! video/x-raw, format=(string)BGRx ! videoconvert"
1651780378.968379222 INFO /car/csi_cam_0 [/tmp/binarydeb/ros-melodic-camera-info-manager-1.11.13/src/camera_info_manager.cpp:227(CameraInfoManager::loadCalibration)] [topics: /rosout] using default calibration URL
1651780378.968514899 INFO /car/csi_cam_0 [/tmp/binarydeb/ros-melodic-camera-info-manager-1.11.13/src/camera_info_manager.cpp:220(CameraInfoManager::loadCalibration)] [topics: /rosout] camera calibration URL: file:///home/robot/catkin_ws/src/cybertruck2/scripts/camera_info/csi_cam_0.yaml
1651780378.968693962 INFO /car/csi_cam_0 [/tmp/binarydeb/ros-melodic-camera-calibration-parsers-1.11.13/src/parse_yml.cpp:231(readCalibrationYml)] [topics: /rosout] Unable to open camera calibration file [/home/robot/catkin_ws/src/cybertruck2/scripts/camera_info/csi_cam_0.yaml]
1651780378.969146618 WARN /car/csi_cam_0 [/tmp/binarydeb/ros-melodic-camera-info-manager-1.11.13/src/camera_info_manager.cpp:293(CameraInfoManager::loadCalibrationFile)] [topics: /rosout] Camera calibration file /home/robot/catkin_ws/src/cybertruck2/scripts/camera_info/csi_cam_0.yaml not found.
1651780378.969235524 INFO /car/csi_cam_0 [/home/robot/catkin_ws/src/gscam/src/gscam.cpp:95(GSCam::configure)] [topics: /rosout] Loaded camera calibration from 
1651780379.240359847 INFO /car/csi_cam_0 [/home/robot/catkin_ws/src/gscam/src/gscam.cpp:210(GSCam::init_stream)] [topics: /rosout] Time offset: 1651779266.353
1651780379.327352659 INFO /car/csi_cam_0 [/home/robot/catkin_ws/src/gscam/src/gscam.cpp:234(GSCam::publish_stream)] [topics: /rosout, /car/csi_cam_0/image_raw, /car/csi_cam_0/camera_info] Publishing stream...
1651780379.327796514 INFO /car/csi_cam_0 [/home/robot/catkin_ws/src/gscam/src/gscam.cpp:263(GSCam::publish_stream)] [topics: /rosout, /car/csi_cam_0/image_raw, /car/csi_cam_0/camera_info] Started stream.
1651780379.340785993 INFO /car/mux/nodelet_manager [/home/robot/catkin_ws/src/mushr/mushr_base/mushr_base/ackermann_cmd_mux/src/ackermann_cmd_mux_nodelet.cpp:181(AckermannCmdMuxNodelet::reloadConfiguration)] [topics: /rosout, /car/mux/ackermann_cmd_mux/parameter_descriptions, /car/mux/ackermann_cmd_mux/parameter_updates, /car/mux/ackermann_cmd_mux/output] AckermannCmdMux : (re)configured [/home/robot/catkin_ws/src/mushr/mushr_base/mushr_base/ackermann_cmd_mux/param/mux.yaml]
1651780379.328549847 INFO /car/vesc/vesc_driver [/home/robot/catkin_ws/src/mushr/mushr_base/vesc/vesc_driver/src/vesc_driver.cpp:96(VescDriver::timerCallback)] [topics: /rosout, /car/vesc/sensors/core, /car/vesc/sensors/servo_position_command] Connected to VESC with firmware version 2.18
1651780383.220483064 INFO /car/drive [cybertruck2.py:234(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651780383.249604940 INFO /car/drive [cybertruck2.py:234(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651780383.283531904 INFO /car/drive [cybertruck2.py:234(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651780383.308942079 INFO /car/drive [cybertruck2.py:234(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651780383.320945024 INFO /car/drive [cybertruck2.py:234(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651780383.338341951 INFO /car/drive [cybertruck2.py:234(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651780383.355700969 INFO /car/drive [cybertruck2.py:234(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651780383.370318889 INFO /car/drive [cybertruck2.py:234(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651780383.383682012 INFO /car/drive [cybertruck2.py:234(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651780383.420167922 INFO /car/drive [cybertruck2.py:234(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651780383.446712970 INFO /car/drive [cybertruck2.py:234(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651780383.462155103 INFO /car/drive [cybertruck2.py:234(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
