

1651779534.377821003  Node Startup
1651779534.585612200 INFO /csi_cam_0 [/home/robot/catkin_ws/src/gscam/src/gscam.cpp:95(GSCam::configure)] [topics: /rosout] Loaded camera calibration from 
1651779535.263297721 INFO /csi_cam_0 [/home/robot/catkin_ws/src/gscam/src/gscam.cpp:210(GSCam::init_stream)] [topics: /rosout] Time offset: 1651779264.450
1651779535.284250273 INFO /csi_cam_0 [/home/robot/catkin_ws/src/gscam/src/gscam.cpp:234(GSCam::publish_stream)] [topics: /rosout, /csi_cam_0/image_raw, /csi_cam_0/camera_info] Publishing stream...
1651779535.284578033 INFO /csi_cam_0 [/home/robot/catkin_ws/src/gscam/src/gscam.cpp:263(GSCam::publish_stream)] [topics: /rosout, /csi_cam_0/image_raw, /csi_cam_0/camera_info] Started stream.
1651779598.533206447 INFO /car/mux/ackermann_cmd_mux [/tmp/binarydeb/ros-melodic-roscpp-1.14.12/src/libros/service.cpp:80(service::exists)] [topics: /rosout] waitForService: Service [/car/mux/nodelet_manager/load_nodelet] has not been advertised, waiting...
1651779598.611798270 INFO /car/mux/ackermann_cmd_mux [/tmp/binarydeb/ros-melodic-roscpp-1.14.12/src/libros/service.cpp:123(service::waitForService)] [topics: /rosout] waitForService: Service [/car/mux/nodelet_manager/load_nodelet] is now available.
1651779598.547341655 INFO /car/mux/nodelet_manager [/tmp/binarydeb/ros-melodic-nodelet-1.9.16/src/loader.cpp:233(Loader::Impl::advertiseRosApi)] [topics: /rosout] Initializing nodelet with 4 worker threads.
1651779598.780465405 INFO /car/vesc/vesc_driver [/home/robot/catkin_ws/src/mushr/mushr_base/vesc/vesc_driver/src/vesc_driver.cpp:96(VescDriver::timerCallback)] [topics: /rosout, /car/vesc/sensors/core, /car/vesc/sensors/servo_position_command] Connected to VESC with firmware version 2.18
1651779598.827950665 INFO /car/mux/nodelet_manager [/home/robot/catkin_ws/src/mushr/mushr_base/mushr_base/ackermann_cmd_mux/src/ackermann_cmd_mux_nodelet.cpp:181(AckermannCmdMuxNodelet::reloadConfiguration)] [topics: /rosout, /car/mux/ackermann_cmd_mux/parameter_descriptions, /car/mux/ackermann_cmd_mux/parameter_updates, /car/mux/ackermann_cmd_mux/output] AckermannCmdMux : (re)configured [/home/robot/catkin_ws/src/mushr/mushr_base/mushr_base/ackermann_cmd_mux/param/mux.yaml]
1651779602.598476886 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651779602.620860099 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651779602.641652107 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651779602.658970117 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651779602.681145906 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651779602.707062959 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651779602.718291997 INFO /car/drive [cybertruck2.py:49(cybertruck2.im_callback)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] /car/driveReceived a new image.
1651779602.724318027 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651779602.742846965 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651779602.759037971 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651779602.780813932 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651779602.800313949 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651779602.823225975 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651779602.835033893 INFO /car/drive [cybertruck2.py:49(cybertruck2.im_callback)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] /car/driveReceived a new image.
1651779602.842129945 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651779602.859498977 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651779602.879018068 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651779602.900233030 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651779602.921972990 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651779602.941922903 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651779602.953696966 INFO /car/drive [cybertruck2.py:49(cybertruck2.im_callback)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] /car/driveReceived a new image.
1651779602.962616920 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
1651779602.984357118 INFO /car/drive [cybertruck2.py:233(cybertruck2.publish_ctrl)] [topics: /rosout, /csi_cam_0/image_raw, /car/mux/ackermann_cmd_mux/input/navigation, /debug_image] publishing ctrl
